Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,Buy_Signal
Ticker,,,,,,,,,0
Date,,,,,,,,,0
2025-04-04,1204.699951171875,1245.449951171875,1193.1500244140625,1241.0999755859375,17908652.0,36.731724545416775,1254.5724975585938,,0
2025-04-07,1165.699951171875,1171.25,1114.8499755859375,1132.199951171875,22156106.0,29.787737806549643,1252.3774963378905,,0
2025-04-08,1182.199951171875,1196.5999755859375,1163.300048828125,1172.0,19555040.0,35.35576543958126,1248.997491455078,,0
2025-04-09,1185.3499755859375,1189.800048828125,1168.0,1169.5,10223104.0,36.39283788295253,1246.344989013672,,0
2025-04-11,1218.949951171875,1222.6500244140625,1195.1500244140625,1195.1500244140625,11224242.0,46.29064448414783,1244.9274841308593,,0
2025-04-15,1240.0999755859375,1251.0,1237.0999755859375,1251.0,13378535.0,51.415560313948596,1244.07998046875,,0
2025-04-16,1239.300048828125,1240.9000244140625,1229.0,1234.0999755859375,8248464.0,51.21650637257419,1243.6499816894532,,0
2025-04-17,1274.5,1280.199951171875,1227.5999755859375,1240.199951171875,15398401.0,58.77909166752529,1245.4324829101563,,0
2025-04-21,1295.5,1300.9000244140625,1267.0,1270.0,10429964.0,62.512814996963996,1248.2649841308594,,0
2025-04-22,1291.199951171875,1303.9000244140625,1286.300048828125,1300.0,13051707.0,61.28864046705838,1250.46748046875,1238.153994140625,0
2025-04-23,1300.0,1306.0,1285.4000244140625,1297.0,10480888.0,62.89025722984485,1252.0099792480469,1238.4499951171874,0
2025-04-24,1301.5999755859375,1304.5,1290.300048828125,1292.4000244140625,10468940.0,63.188463713372485,1253.272479248047,1238.9179956054688,0
2025-04-25,1300.4000244140625,1325.199951171875,1288.0999755859375,1303.5,14431012.0,62.78099689625738,1253.187481689453,1239.2949951171875,0
2025-04-28,1368.800048828125,1374.5999755859375,1320.199951171875,1340.0,31104496.0,73.33597826153164,1257.3549865722657,1241.3369970703125,0
2025-04-29,1399.699951171875,1410.9000244140625,1370.0,1371.0,32538970.0,76.56874139746967,1263.687481689453,1244.2579956054688,0
2025-04-30,1405.0,1412.4000244140625,1369.0,1402.0,25480745.0,77.081995556001,1270.0274841308594,1247.66099609375,0
2025-05-02,1419.800048828125,1426.699951171875,1409.0999755859375,1414.0,13007841.0,78.49836425594991,1277.2624877929688,1251.72599609375,0
2025-05-05,1431.300048828125,1439.5,1426.9000244140625,1431.0,12685649.0,79.5556496016322,1286.197491455078,1256.0299975585938,0
2025-05-06,1420.9000244140625,1432.0,1410.5999755859375,1431.0,14084117.0,75.91987142701595,1294.684991455078,1260.102998046875,0
2025-05-07,1406.0,1424.4000244140625,1402.699951171875,1420.9000244140625,13440169.0,70.91920898478935,1302.5499938964845,1263.7249975585937,0
2025-05-08,1407.0,1420.800048828125,1398.0,1404.0999755859375,16106175.0,71.05699760761657,1312.6649963378907,1267.3569970703124,0
2025-05-09,1377.199951171875,1394.800048828125,1374.5,1385.5,13668904.0,61.678325028997385,1323.2399963378907,1270.3519970703126,0
2025-05-12,1436.5,1439.0,1400.0,1400.0,10674081.0,70.12772059636546,1335.9549987792968,1274.4219970703125,0
2025-05-13,1415.699951171875,1447.699951171875,1412.4000244140625,1433.5,11407896.0,64.73607301516998,1347.4724975585937,1278.1729956054687,0
2025-05-14,1424.4000244140625,1429.9000244140625,1415.5,1420.0,5570160.0,65.91644764036914,1357.7450012207032,1282.3699951171875,0
2025-05-15,1454.199951171875,1461.4000244140625,1412.699951171875,1425.0,20177211.0,69.66228586569082,1368.45,1287.373994140625,0
2025-05-16,1456.4000244140625,1461.0,1447.300048828125,1453.199951171875,9036695.0,69.92507976221738,1379.304998779297,1292.3599951171875,0
2025-05-19,1440.800048828125,1454.5999755859375,1438.199951171875,1452.0999755859375,6195791.0,65.58677404851869,1387.6200012207032,1297.1739965820314,0
2025-05-20,1424.5999755859375,1445.0,1421.800048828125,1438.199951171875,11270560.0,61.331307797692766,1394.075,1302.24099609375,0
2025-05-21,1429.199951171875,1436.199951171875,1418.0999755859375,1423.9000244140625,6136364.0,62.083590910158264,1400.975,1307.5869946289063,0
2025-05-22,1409.4000244140625,1423.800048828125,1396.9000244140625,1421.199951171875,12134466.0,56.94797153976754,1406.445001220703,1312.2629956054689,0
2025-05-23,1426.800048828125,1433.800048828125,1406.5999755859375,1406.5999755859375,6474883.0,60.073665128482574,1412.7050048828125,1316.6069970703124,0
2025-05-26,1434.800048828125,1441.0,1425.0999755859375,1432.0,4842944.0,61.45914105896464,1419.4250061035157,1320.3069970703125,0
2025-05-27,1422.0999755859375,1437.0,1413.9000244140625,1426.0999755859375,12640414.0,58.017246396485504,1422.0900024414063,1323.98099609375,0
2025-05-28,1412.9000244140625,1422.5999755859375,1410.699951171875,1420.0999755859375,5944611.0,55.588618658634,1422.7500061035157,1327.2929956054688,0
2025-05-29,1417.800048828125,1420.0,1408.5999755859375,1412.0999755859375,13771917.0,56.629955213013744,1423.3900085449218,1330.5079956054688,0
2025-05-30,1420.9000244140625,1430.5999755859375,1409.699951171875,1418.0,13788484.0,57.31189869697085,1423.4450073242188,1333.9679956054688,0
2025-06-02,1413.699951171875,1417.5,1395.5999755859375,1412.0999755859375,8098668.0,55.14312992836161,1422.5650024414062,1337.4649951171875,0
2025-06-03,1405.5,1426.5,1403.4000244140625,1422.300048828125,11252626.0,52.69735597826908,1421.7950012207032,1340.7979956054687,0
2025-06-04,1423.5,1425.699951171875,1406.0999755859375,1414.699951171875,8126827.0,57.18638790354657,1422.6700012207032,1344.3249951171874,0
2025-06-05,1442.4000244140625,1454.699951171875,1423.5999755859375,1428.0,13716817.0,61.33549181096704,1424.4400024414062,1347.7899951171876,0
2025-06-06,1443.5,1451.5,1437.0,1441.0,8182161.0,61.56892378997938,1427.7550048828125,1351.1329956054688,0
2025-06-09,1448.800048828125,1457.5,1445.300048828125,1457.0,7885125.0,62.73631174379888,1428.3700073242187,1354.0669970703125,0
2025-06-10,1438.5,1453.9000244140625,1436.0,1450.0,7913181.0,58.986338280715934,1429.510009765625,1357.127998046875,0
2025-06-11,1448.9000244140625,1468.5999755859375,1443.0999755859375,1445.800048828125,8195700.0,61.489387535356585,1430.735009765625,1360.6449975585938,0
2025-06-12,1441.5999755859375,1457.0,1434.4000244140625,1453.5,8828114.0,58.7777603811874,1430.1050109863281,1363.912998046875,0
2025-06-13,1427.9000244140625,1435.5,1414.300048828125,1424.0,9757276.0,53.96779023926343,1428.6800109863282,1366.9689990234374,0
2025-06-16,1437.800048828125,1442.4000244140625,1424.4000244140625,1426.9000244140625,8458093.0,56.72379787592873,1428.530010986328,1370.6730004882813,0
2025-06-17,1431.199951171875,1448.0,1425.800048828125,1448.0,10366599.0,54.38601274285819,1428.860009765625,1374.2739990234375,0
2025-06-18,1430.0999755859375,1442.800048828125,1425.699951171875,1430.0,6681735.0,53.986672370252435,1428.905010986328,1377.9019995117187,0
2025-06-19,1433.300048828125,1439.9000244140625,1425.699951171875,1430.0999755859375,10007230.0,55.02139404245519,1430.1000122070313,1382.4740014648437,0
2025-06-20,1466.199951171875,1471.0,1428.0999755859375,1431.0,29010635.0,63.98764350599326,1432.0700073242188,1388.4840014648437,0
2025-06-23,1456.800048828125,1463.800048828125,1442.0,1453.0,5989078.0,60.289691224625294,1433.1700073242187,1393.9760034179687,0
2025-06-24,1450.800048828125,1475.0,1443.0999755859375,1465.0,16402744.0,57.98611906487643,1434.6050109863281,1399.2850048828125,0
2025-06-25,1467.300048828125,1472.4000244140625,1460.5,1464.0,7525851.0,62.256956637361135,1437.3250122070312,1404.2520068359374,0
2025-06-26,1495.300048828125,1498.800048828125,1465.0999755859375,1469.0999755859375,14657893.0,68.17005281472586,1441.2000122070312,1409.3560083007812,0
2025-06-27,1515.4000244140625,1522.0,1496.9000244140625,1499.4000244140625,11117052.0,71.60868495210642,1445.9250122070312,1414.8780078125,0
2025-06-30,1500.5999755859375,1524.800048828125,1496.0,1513.800048828125,8409527.0,65.95837767353194,1450.2700134277343,1419.4000073242187,0
2025-07-01,1528.4000244140625,1531.4000244140625,1500.0999755859375,1500.5999755859375,10368523.0,70.64402847764615,1456.4150146484376,1424.0580078125,0
2025-07-02,1518.800048828125,1530.0,1508.699951171875,1528.4000244140625,6361002.0,67.20398485942192,1461.1800170898437,1428.610009765625,0
2025-07-03,1517.800048828125,1531.9000244140625,1513.0,1520.800048828125,11283291.0,66.83886779434114,1464.950018310547,1432.9660107421876,0
2025-07-04,1527.300048828125,1530.0,1517.199951171875,1524.0,6603501.0,68.58502032686215,1469.1400207519532,1437.4800122070312,0
2025-07-07,1541.5,1544.800048828125,1525.0,1526.5999755859375,7251074.0,71.03974682860955,1473.7750183105468,1442.30201171875,0
2025-07-08,1537.5999755859375,1544.9000244140625,1530.199951171875,1536.0,7171261.0,69.43498771999738,1478.7300170898438,1445.6780102539062,0
2025-07-09,1519.0,1551.0,1510.0999755859375,1536.699951171875,8870660.0,62.21653678070109,1482.2350158691406,1448.0640112304689,0
2025-07-10,1517.199951171875,1524.699951171875,1507.5,1519.699951171875,10047129.0,61.549656501515734,1486.0150146484375,1450.3080102539063,0
2025-07-11,1495.199951171875,1515.0,1490.300048828125,1512.0,7234991.0,53.939830948793656,1489.3800109863282,1451.8160083007813,0
2025-07-14,1483.699951171875,1500.0,1479.0999755859375,1492.199951171875,10311846.0,50.429911750825895,1491.6750061035157,1452.8640063476562,0
2025-07-15,1485.4000244140625,1496.5,1482.4000244140625,1486.199951171875,8132454.0,50.93817152879314,1494.385009765625,1454.1540063476561,0
2025-07-16,1485.5999755859375,1491.0,1471.5,1473.0,10409983.0,51.00180522280746,1497.160009765625,1455.746005859375,0
2025-07-17,1476.4000244140625,1489.5999755859375,1473.9000244140625,1487.4000244140625,11854613.0,47.92199106349176,1499.315008544922,1457.1340063476562,0
2025-07-18,1476.0,1484.800048828125,1469.0999755859375,1484.800048828125,10296318.0,47.78686685015016,1499.8050109863282,1459.1100073242187,0
2025-07-21,1428.5999755859375,1476.0,1423.0999755859375,1465.0,22442744.0,35.14227214774115,1498.3950073242188,1458.9520068359375,0
2025-07-22,1412.800048828125,1431.9000244140625,1410.699951171875,1427.4000244140625,20396320.0,32.093822701172115,1496.4950073242187,1458.8940087890626,0
2025-07-23,1424.5999755859375,1426.0,1414.4000244140625,1426.0,8354596.0,36.522536786475754,1494.3600036621094,1458.8980078125,0
2025-07-24,1402.9000244140625,1423.0,1396.0,1419.199951171875,14740507.0,32.34483506035683,1489.7400024414062,1457.8720092773438,0
2025-07-25,1391.699951171875,1401.0,1384.0999755859375,1398.9000244140625,11854722.0,30.411273971929802,1483.554998779297,1456.5780078125,0
2025-07-28,1387.5999755859375,1407.800048828125,1385.0,1392.300048828125,7748361.0,29.711082962423333,1477.9049987792969,1455.5140063476563,1
2025-07-29,1417.0999755859375,1420.199951171875,1383.0,1383.0,10750072.0,40.35250264828117,1472.3399963378906,1455.3640063476562,0
2025-07-30,1410.0999755859375,1423.300048828125,1401.300048828125,1418.0999755859375,7209849.0,38.849502949107425,1466.9049926757812,1454.9820068359375,0
2025-07-31,1390.199951171875,1402.5999755859375,1382.199951171875,1388.0999755859375,17065827.0,34.872862966329706,1460.5249877929687,1454.5980053710937,0
2025-08-01,1393.699951171875,1405.9000244140625,1384.300048828125,1386.9000244140625,10321171.0,36.11152394282336,1453.8449829101562,1453.9360034179688,0
